,repository_name,language
204,ctf-infrastructure,Shell
205,cv-training-and-inference-openvino,Python
206,cve-bin-tool,Python
207,cve-bin-tool-action,Python
208,cxlstresstester,C++
209,cylon-ros-gpio,JavaScript
210,DAFT,Python
211,data-center-gpu-utilities-for-vmware-tanzu,Shell
212,dcl,Go
213,ddp-tool,C
214,de10-nano-drivers,HTML
215,de10-nano-hardware,Tcl
216,de10-nano-webcontent,HTML
217,Deep-learning-math-kernel-research,C++
218,deep-learning-technologies,
219,Dependency-Reduction-Unit-Framework,C++
220,depth-camera-web-demo,JavaScript
221,depthcamera-3d-model-web-demo,JavaScript
222,depthcamera-pointcloud-web-demo,JavaScript
223,Detectron,Python
224,DevCloudContent,
225,DevCloudContent-docker-compose,
226,DevCloudContent-dockerfile,Python
227,DevCloudContent-git,Jupyter Notebook
228,DevCloudContent-git-external,
229,DevCloudContent-helm,
230,Developer-Tools-Runtimes-Blogs,C++
231,device-modeling-language,Python
232,dffml,Python
233,diagnostics-utility,Python
234,digital-datasheet-creator,Python
235,digital-datasheet-vocabularies,
236,dimgen,Rust
237,disease-prediction,Python
238,Display-Virtualization-for-Android-OS,
239,Display-Virtualization-for-Windows-OS,C++
240,dlafs,C
241,dleyna-collabora-android,C
242,dleyna-connector-dbus,C
243,dleyna-control,Python
244,dleyna-core,C
245,dleyna-diagnostics,C
246,dleyna-linux,M4
247,dleyna-renderer,C
248,dleyna-server,C
249,DLFDKit-code-samples,
250,DML,C++
251,dml-lang,
252,dml-language-server,
253,dmr,CMake
254,document-automation,Python
255,document-level-sentiment-analysis,Python
256,double-batched-fft-library,C++
257,dpdm_lib,C
258,dps-for-iot,C
259,dptf,C++
260,dptfxtract,
261,dream-textures-openvino,Python
262,drivers.gpu.control-library,C
263,driving-data-collection-reference-kit,JavaScript
264,dsa-perf-micros,C
265,DTO,C
266,DualScreen.Net,C#
267,dynamic-application-loader-host-interface,C++
268,e2eAIOK,Jupyter Notebook
269,earlyapp,C++
270,ecfw-zephyr,C
271,edge-ai-collectd,Python
272,edge-ai-device-plugin,Go
273,edge-ai-resource-monitoring-deployment,
274,edge-developer-kit-reference-scripts,TypeScript
275,edge-insights-vision,Shell
276,Edge-optimized-models,
277,Edge-Software-Provisioner,Shell
278,edge-to-azure-bridge,Python
279,edison-bcm43340,C
280,edison-firmware,C
281,edison-linux,C
282,edison-oobe,Python
283,edison-u-boot,C
284,Edk2Code,TypeScript
285,edkiibuilddataviewer,C++
286,efiwrapper,C
287,ehl-pse-fw,
288,ehsm,C++
289,endurance_profiler,Shell
290,envoy,C++
291,envoy-go-control-plane,Go
292,esate_blog_sgx,
293,esp-profile-centos,Shell
294,esp-profile-clearlinux,Shell
295,esp-profile-redhat,
296,esp-profile-ubuntu,Shell
297,esp-profile-windows,Shell
298,eth-fast-fabric,C
299,eth-mpi-apps,C
300,eth-psm3-fi,C
301,ethernet-linux,HTML
302,ethernet-linux-i40e,C
303,ethernet-linux-iavf,C
304,ethernet-linux-ice,C
305,ethernet-linux-idpf,C
306,ethernet-linux-igb,C
307,ethernet-linux-ixgbe,C
308,ethernet-linux-ixgbevf,C
309,event-converter-for-linux-perf,Python
310,experiments,Python
311,external-mesa,C
312,external-vulkan_hal,C++
313,external-wayland,C
314,external-wayland-protocols,M4
315,external-weston,C
316,ezIOmeter,C#
317,fakedev-exporter,Go
318,fastgo,Go
319,fastuidraw,C++
320,fdk-debug-agent,C++
321,FdtBusPkg,C
322,fffc,Python
323,ffmpeg_libyami,C
324,ffvademo,C
325,Financial-Services-Workload-Samples,C++
326,fineibt_glibc,C
327,fineibt_testing,Shell
328,fineibt_tests,
329,fineibt_tools,
330,fiovisualizer,Python
331,firmware-update-abstraction-layer,Python
332,fl-tutorial,Jupyter Notebook
333,flexmalloc,Roff
334,FlexRAN,C
